"date","Year","DOY","Plot","rotation","N2O_non_gapfill","N2O_gapfill","N2O_gapfill_kean_Nicole"
"2015-02-24",2015,55,"P1","Urea+NUI",NA,NA,NA
"2015-02-24",2015,55,"P2","Urea",NA,0,NA
"2015-02-24",2015,55,"P3","UAN+NUI",NA,0,NA
"2015-02-24",2015,55,"P4","UAN",NA,0,NA
"2015-02-25",2015,56,"P1","Urea+NUI",NA,NA,NA
"2015-02-25",2015,56,"P2","Urea",NA,0,NA
"2015-02-25",2015,56,"P3","UAN+NUI",NA,0,NA
"2015-02-25",2015,56,"P4","UAN",NA,0,NA
"2015-02-26",2015,57,"P1","Urea+NUI",NA,NA,NA
"2015-02-26",2015,57,"P2","Urea",NA,0,NA
"2015-02-26",2015,57,"P3","UAN+NUI",NA,0,NA
"2015-02-26",2015,57,"P4","UAN",NA,0,NA
"2015-02-27",2015,58,"P1","Urea+NUI",NA,NA,NA
"2015-02-27",2015,58,"P2","Urea",NA,0,NA
"2015-02-27",2015,58,"P3","UAN+NUI",NA,0,NA
"2015-02-27",2015,58,"P4","UAN",NA,0,NA
"2015-02-28",2015,59,"P1","Urea+NUI",NA,NA,NA
"2015-02-28",2015,59,"P2","Urea",NA,0,NA
"2015-02-28",2015,59,"P3","UAN+NUI",NA,0,NA
"2015-02-28",2015,59,"P4","UAN",NA,0,NA
"2015-03-01",2015,60,"P1","Urea+NUI",NA,NA,NA
"2015-03-01",2015,60,"P2","Urea",NA,0,NA
"2015-03-01",2015,60,"P3","UAN+NUI",NA,0,NA
"2015-03-01",2015,60,"P4","UAN",NA,0,NA
"2015-03-02",2015,61,"P1","Urea+NUI",NA,NA,NA
"2015-03-02",2015,61,"P2","Urea",NA,0,NA
"2015-03-02",2015,61,"P3","UAN+NUI",NA,0,NA
"2015-03-02",2015,61,"P4","UAN",NA,0,NA
"2015-03-03",2015,62,"P1","Urea+NUI",NA,NA,NA
"2015-03-03",2015,62,"P2","Urea",NA,0,NA
"2015-03-03",2015,62,"P3","UAN+NUI",NA,0,NA
"2015-03-03",2015,62,"P4","UAN",NA,0,NA
"2015-03-04",2015,63,"P1","Urea+NUI",NA,NA,NA
"2015-03-04",2015,63,"P2","Urea",NA,0,NA
"2015-03-04",2015,63,"P3","UAN+NUI",NA,0,NA
"2015-03-04",2015,63,"P4","UAN",NA,0,NA
"2015-03-05",2015,64,"P1","Urea+NUI",NA,NA,NA
"2015-03-05",2015,64,"P2","Urea",NA,0,NA
"2015-03-05",2015,64,"P3","UAN+NUI",NA,0,NA
"2015-03-05",2015,64,"P4","UAN",NA,0,NA
"2015-03-06",2015,65,"P1","Urea+NUI",NA,NA,NA
"2015-03-06",2015,65,"P2","Urea",NA,0,NA
"2015-03-06",2015,65,"P3","UAN+NUI",NA,0,NA
"2015-03-06",2015,65,"P4","UAN",NA,0,NA
"2015-03-07",2015,66,"P1","Urea+NUI",NA,NA,NA
"2015-03-07",2015,66,"P2","Urea",NA,0,NA
"2015-03-07",2015,66,"P3","UAN+NUI",NA,0,NA
"2015-03-07",2015,66,"P4","UAN",NA,0,NA
"2015-03-08",2015,67,"P1","Urea+NUI",NA,NA,NA
"2015-03-08",2015,67,"P2","Urea",NA,0,NA
"2015-03-08",2015,67,"P3","UAN+NUI",NA,0,NA
"2015-03-08",2015,67,"P4","UAN",NA,0,NA
"2015-03-09",2015,68,"P1","Urea+NUI",NA,NA,NA
"2015-03-09",2015,68,"P2","Urea",NA,0,NA
"2015-03-09",2015,68,"P3","UAN+NUI",NA,0,NA
"2015-03-09",2015,68,"P4","UAN",NA,0,NA
"2015-03-10",2015,69,"P1","Urea+NUI",NA,NA,NA
"2015-03-10",2015,69,"P2","Urea",NA,0,NA
"2015-03-10",2015,69,"P3","UAN+NUI",NA,0,NA
"2015-03-10",2015,69,"P4","UAN",NA,0,NA
"2015-03-11",2015,70,"P1","Urea+NUI",NA,NA,NA
"2015-03-11",2015,70,"P2","Urea",NA,0,NA
"2015-03-11",2015,70,"P3","UAN+NUI",NA,0,NA
"2015-03-11",2015,70,"P4","UAN",NA,0,NA
"2015-03-12",2015,71,"P1","Urea+NUI",NA,NA,NA
"2015-03-12",2015,71,"P2","Urea",NA,0,NA
"2015-03-12",2015,71,"P3","UAN+NUI",NA,0,NA
"2015-03-12",2015,71,"P4","UAN",NA,0,NA
"2015-03-13",2015,72,"P1","Urea+NUI",NA,NA,NA
"2015-03-13",2015,72,"P2","Urea",NA,0,NA
"2015-03-13",2015,72,"P3","UAN+NUI",NA,0,NA
"2015-03-13",2015,72,"P4","UAN",NA,0,NA
"2015-03-14",2015,73,"P1","Urea+NUI",NA,NA,NA
"2015-03-14",2015,73,"P2","Urea",NA,0,NA
"2015-03-14",2015,73,"P3","UAN+NUI",NA,0,NA
"2015-03-14",2015,73,"P4","UAN",NA,0,NA
"2015-03-15",2015,74,"P1","Urea+NUI",NA,NA,NA
"2015-03-15",2015,74,"P2","Urea",NA,0,NA
"2015-03-15",2015,74,"P3","UAN+NUI",NA,0,NA
"2015-03-15",2015,74,"P4","UAN",NA,0,NA
"2015-03-16",2015,75,"P1","Urea+NUI",NA,NA,NA
"2015-03-16",2015,75,"P2","Urea",NA,0,NA
"2015-03-16",2015,75,"P3","UAN+NUI",NA,0,NA
"2015-03-16",2015,75,"P4","UAN",NA,0,NA
"2015-03-17",2015,76,"P1","Urea+NUI",NA,NA,NA
"2015-03-17",2015,76,"P2","Urea",NA,0,NA
"2015-03-17",2015,76,"P3","UAN+NUI",NA,0,NA
"2015-03-17",2015,76,"P4","UAN",NA,0,NA
"2015-03-18",2015,77,"P1","Urea+NUI",NA,NA,NA
"2015-03-18",2015,77,"P2","Urea",NA,0,NA
"2015-03-18",2015,77,"P3","UAN+NUI",NA,0,NA
"2015-03-18",2015,77,"P4","UAN",NA,0,NA
"2015-03-19",2015,78,"P1","Urea+NUI",NA,NA,NA
"2015-03-19",2015,78,"P2","Urea",NA,0,NA
"2015-03-19",2015,78,"P3","UAN+NUI",NA,0,NA
"2015-03-19",2015,78,"P4","UAN",NA,0,NA
"2015-03-20",2015,79,"P1","Urea+NUI",NA,NA,NA
"2015-03-20",2015,79,"P2","Urea",NA,0,NA
"2015-03-20",2015,79,"P3","UAN+NUI",NA,0,NA
"2015-03-20",2015,79,"P4","UAN",NA,0,NA
"2015-03-21",2015,80,"P1","Urea+NUI",NA,NA,NA
"2015-03-21",2015,80,"P2","Urea",NA,0,NA
"2015-03-21",2015,80,"P3","UAN+NUI",NA,0,NA
"2015-03-21",2015,80,"P4","UAN",NA,0,NA
"2015-03-22",2015,81,"P1","Urea+NUI",NA,NA,NA
"2015-03-22",2015,81,"P2","Urea",NA,0,NA
"2015-03-22",2015,81,"P3","UAN+NUI",NA,0,NA
"2015-03-22",2015,81,"P4","UAN",NA,0,NA
"2015-03-23",2015,82,"P1","Urea+NUI",NA,NA,NA
"2015-03-23",2015,82,"P2","Urea",NA,0,NA
"2015-03-23",2015,82,"P3","UAN+NUI",NA,0,NA
"2015-03-23",2015,82,"P4","UAN",NA,0,NA
"2015-03-24",2015,83,"P1","Urea+NUI",NA,NA,NA
"2015-03-24",2015,83,"P2","Urea",NA,0,NA
"2015-03-24",2015,83,"P3","UAN+NUI",NA,0,NA
"2015-03-24",2015,83,"P4","UAN",NA,0,NA
"2015-03-25",2015,84,"P1","Urea+NUI",NA,NA,NA
"2015-03-25",2015,84,"P2","Urea",NA,0,NA
"2015-03-25",2015,84,"P3","UAN+NUI",NA,0,NA
"2015-03-25",2015,84,"P4","UAN",NA,0,NA
"2015-03-26",2015,85,"P1","Urea+NUI",NA,NA,NA
"2015-03-26",2015,85,"P2","Urea",NA,0,NA
"2015-03-26",2015,85,"P3","UAN+NUI",NA,0,NA
"2015-03-26",2015,85,"P4","UAN",NA,0,NA
"2015-03-27",2015,86,"P1","Urea+NUI",NA,NA,NA
"2015-03-27",2015,86,"P2","Urea",NA,0,NA
"2015-03-27",2015,86,"P3","UAN+NUI",NA,0,NA
"2015-03-27",2015,86,"P4","UAN",NA,0,NA
"2015-03-28",2015,87,"P1","Urea+NUI",NA,NA,NA
"2015-03-28",2015,87,"P2","Urea",NA,0,NA
"2015-03-28",2015,87,"P3","UAN+NUI",NA,0,NA
"2015-03-28",2015,87,"P4","UAN",NA,0,NA
"2015-03-29",2015,88,"P1","Urea+NUI",NA,NA,NA
"2015-03-29",2015,88,"P2","Urea",NA,0,NA
"2015-03-29",2015,88,"P3","UAN+NUI",NA,0,NA
"2015-03-29",2015,88,"P4","UAN",NA,0,NA
"2015-03-30",2015,89,"P1","Urea+NUI",NA,NA,NA
"2015-03-30",2015,89,"P2","Urea",NA,0,NA
"2015-03-30",2015,89,"P3","UAN+NUI",NA,0,NA
"2015-03-30",2015,89,"P4","UAN",NA,0,NA
"2015-03-31",2015,90,"P1","Urea+NUI",NA,NA,NA
"2015-03-31",2015,90,"P2","Urea",NA,0,NA
"2015-03-31",2015,90,"P3","UAN+NUI",NA,0,NA
"2015-03-31",2015,90,"P4","UAN",NA,0,NA
"2015-04-01",2015,91,"P1","Urea+NUI",NA,NA,NA
"2015-04-01",2015,91,"P2","Urea",NA,0,NA
"2015-04-01",2015,91,"P3","UAN+NUI",NA,0,NA
"2015-04-01",2015,91,"P4","UAN",NA,0,NA
"2015-04-02",2015,92,"P1","Urea+NUI",NA,NA,NA
"2015-04-02",2015,92,"P2","Urea",NA,0,NA
"2015-04-02",2015,92,"P3","UAN+NUI",NA,0,NA
"2015-04-02",2015,92,"P4","UAN",NA,0,NA
"2015-04-03",2015,93,"P1","Urea+NUI",NA,NA,NA
"2015-04-03",2015,93,"P2","Urea",NA,0,NA
"2015-04-03",2015,93,"P3","UAN+NUI",NA,0,NA
"2015-04-03",2015,93,"P4","UAN",NA,0,NA
"2015-04-04",2015,94,"P1","Urea+NUI",NA,NA,NA
"2015-04-04",2015,94,"P2","Urea",NA,0,NA
"2015-04-04",2015,94,"P3","UAN+NUI",NA,0,NA
"2015-04-04",2015,94,"P4","UAN",NA,0,NA
"2015-04-05",2015,95,"P1","Urea+NUI",NA,NA,NA
"2015-04-05",2015,95,"P2","Urea",NA,0,NA
"2015-04-05",2015,95,"P3","UAN+NUI",NA,0,NA
"2015-04-05",2015,95,"P4","UAN",NA,0,NA
"2015-04-06",2015,96,"P1","Urea+NUI",NA,NA,NA
"2015-04-06",2015,96,"P2","Urea",NA,0,NA
"2015-04-06",2015,96,"P3","UAN+NUI",NA,0,NA
"2015-04-06",2015,96,"P4","UAN",NA,0,NA
"2015-04-07",2015,97,"P1","Urea+NUI",NA,NA,NA
"2015-04-07",2015,97,"P2","Urea",NA,0,NA
"2015-04-07",2015,97,"P3","UAN+NUI",NA,0,NA
"2015-04-07",2015,97,"P4","UAN",NA,0,NA
"2015-04-08",2015,98,"P1","Urea+NUI",NA,NA,NA
"2015-04-08",2015,98,"P2","Urea",NA,0,NA
"2015-04-08",2015,98,"P3","UAN+NUI",NA,0,NA
"2015-04-08",2015,98,"P4","UAN",NA,0,NA
"2015-04-09",2015,99,"P1","Urea+NUI",NA,NA,NA
"2015-04-09",2015,99,"P2","Urea",NA,0,NA
"2015-04-09",2015,99,"P3","UAN+NUI",NA,0,NA
"2015-04-09",2015,99,"P4","UAN",NA,0,NA
"2015-04-10",2015,100,"P1","Urea+NUI",NA,NA,NA
"2015-04-10",2015,100,"P2","Urea",NA,0,NA
"2015-04-10",2015,100,"P3","UAN+NUI",NA,0,NA
"2015-04-10",2015,100,"P4","UAN",NA,0,NA
"2015-04-11",2015,101,"P1","Urea+NUI",NA,NA,NA
