date,plot,rotation,wfps_5,wfps_25
4/20/2018,P1,Conventional,30.85057364,59.75014021
4/20/2018,P2,Conventional,29.87614167,66.25164915
4/20/2018,P3,Diverse,18.11333603,59.06024132
4/20/2018,P4,Diverse,26.55618894,67.60418829
4/21/2018,P1,Conventional,59.64295999,66.15703327
4/21/2018,P2,Conventional,36.09885962,66.71436903
4/21/2018,P3,Diverse,32.79656846,65.77145224
4/21/2018,P4,Diverse,39.4993235,72.2071886
4/22/2018,P1,Conventional,71.76380101,68.74926569
4/22/2018,P2,Conventional,34.20494658,63.86855136
4/22/2018,P3,Diverse,46.59295889,68.6435702
4/22/2018,P4,Diverse,65.8771281,75.5711958
4/23/2018,P1,Conventional,61.50738478,65.59290657
4/23/2018,P2,Conventional,32.17557415,60.26722879
4/23/2018,P3,Diverse,35.37192545,61.16250688
4/23/2018,P4,Diverse,40.4331726,72.90308583
4/24/2018,P1,Conventional,49.91640556,63.46514113
4/24/2018,P2,Conventional,30.53844669,58.59094006
4/24/2018,P3,Diverse,28.81199663,56.6274864
4/24/2018,P4,Diverse,34.79113753,67.98061897
4/25/2018,P1,Conventional,52.13789746,65.40836354
4/25/2018,P2,Conventional,35.21142212,62.02066443
4/25/2018,P3,Diverse,30.03553707,62.04225322
4/25/2018,P4,Diverse,36.86165433,71.48758438
4/26/2018,P1,Conventional,48.39241563,63.76261619
4/26/2018,P2,Conventional,33.38487126,60.586097
4/26/2018,P3,Diverse,27.90399351,58.08628213
4/26/2018,P4,Diverse,33.81384436,68.34245795
4/27/2018,P1,Conventional,43.56856488,62.27691853
4/27/2018,P2,Conventional,30.97200139,58.61275657
4/27/2018,P3,Diverse,25.65830564,55.15119886
4/27/2018,P4,Diverse,31.56665363,64.85546563
4/28/2018,P1,Conventional,41.57867601,61.51645691
4/28/2018,P2,Conventional,30.10350588,57.94367178
4/28/2018,P3,Diverse,24.29124495,54.23925357
4/28/2018,P4,Diverse,30.25633595,63.52338633
4/29/2018,P1,Conventional,38.83777975,60.03839261
4/29/2018,P2,Conventional,28.73871677,56.91626203
4/29/2018,P3,Diverse,21.84756632,52.93430956
4/29/2018,P4,Diverse,28.34787903,61.44430133
4/30/2018,P1,Conventional,34.99365604,59.20792787
4/30/2018,P2,Conventional,26.80907468,56.31525751
4/30/2018,P3,Diverse,18.14869159,52.24614009
4/30/2018,P4,Diverse,25.1872984,60.27892506
5/1/2018,P1,Conventional,33.15344615,59.13536045
5/1/2018,P2,Conventional,26.20814829,56.29621395
5/1/2018,P3,Diverse,17.6137769,52.21280953
5/1/2018,P4,Diverse,24.73171384,60.12076821
5/2/2018,P1,Conventional,30.4355652,59.45891774
5/2/2018,P2,Conventional,25.5444406,56.77167254
5/2/2018,P3,Diverse,16.63850361,52.60250814
5/2/2018,P4,Diverse,24.08926771,60.62995701
5/3/2018,P1,Conventional,33.89264095,60.25844852
5/3/2018,P2,Conventional,29.55395673,57.39488643
5/3/2018,P3,Diverse,21.31639514,53.08666155
5/3/2018,P4,Diverse,29.02340534,61.59794713
5/4/2018,P1,Conventional,40.84597025,64.22762137
5/4/2018,P2,Conventional,35.70957393,62.79374476
5/4/2018,P3,Diverse,25.35125203,58.01772696
5/4/2018,P4,Diverse,33.57132155,68.04676181
5/5/2018,P1,Conventional,37.45948229,62.35355922
5/5/2018,P2,Conventional,32.22445171,59.76605922
5/5/2018,P3,Diverse,22.53896119,55.74374896
5/5/2018,P4,Diverse,29.95564439,65.27097917
5/6/2018,P1,Conventional,37.06781902,62.13033176
5/6/2018,P2,Conventional,31.89616261,59.28231244
5/6/2018,P3,Diverse,22.57158315,55.25997348
5/6/2018,P4,Diverse,30.04976082,64.55139801
5/7/2018,P1,Conventional,36.63895093,62.16098535
5/7/2018,P2,Conventional,31.64309156,59.28232146
5/7/2018,P3,Diverse,22.20922404,55.18760492
5/7/2018,P4,Diverse,29.627032,64.44461187
5/8/2018,P1,Conventional,34.04472452,61.42144274
5/8/2018,P2,Conventional,29.55872468,58.90157595
5/8/2018,P3,Diverse,20.3519864,54.7430054
5/8/2018,P4,Diverse,27.80729669,63.67143974
5/9/2018,P1,Conventional,31.63725895,61.16465691
5/9/2018,P2,Conventional,28.00364327,58.77774432
5/9/2018,P3,Diverse,19.10349225,54.6074727
5/9/2018,P4,Diverse,26.57146563,63.33104845
5/10/2018,P1,Conventional,30.09504626,60.94474211
5/10/2018,P2,Conventional,26.97444231,58.64164375
5/10/2018,P3,Diverse,18.30580211,54.37711127
5/10/2018,P4,Diverse,25.71173649,62.93605814
5/11/2018,P1,Conventional,28.44936183,59.72410442
5/11/2018,P2,Conventional,26.00604103,57.64001521
5/11/2018,P3,Diverse,17.40317698,53.21190827
5/11/2018,P4,Diverse,24.55282097,61.29959403
5/12/2018,P1,Conventional,27.52857885,59.51051386
5/12/2018,P2,Conventional,25.63365107,57.36358059
5/12/2018,P3,Diverse,17.3321664,52.91153052
5/12/2018,P4,Diverse,24.26817196,60.95789119
5/13/2018,P1,Conventional,26.79532102,59.60807617
5/13/2018,P2,Conventional,25.18572233,57.45865398
5/13/2018,P3,Diverse,16.92552003,52.95768782
5/13/2018,P4,Diverse,24.04986271,61.11146051
